"","movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"1677","Their Finest","STX Entertainment",1945,23,29,67,3603484,77,2017-06-22
"1678","Thelma","The Orchard",206,2,1,206,147391,123,2018-03-12
"1679","Think Like a Man","Sony Pictures",25044,-34,118,212,91547205,80,2012-07-08
"1680","Think Like a Man Too","Sony Pictures",21365,-27,93,230,64948947,59,2014-08-17
"1681","This is 40","Universal",6240,30,96,65,67544505,70,2013-02-28
"1682","This is the End","Sony Pictures",12530,-38,97,129,101470202,117,2013-10-06
"1683","This is Where I Leave You","Warner Bros.",1069,-50,35,31,34296320,77,2014-12-04
"1684","This Isn't Funny","Candy Factory Films",1540,48,1,1540,5654,7,2015-11-12
"1685","This Means War","20th Century Fox",702,54,9,78,54760791,119,2012-06-14
"1686","Thor: Ragnarok","Walt Disney",5735,NA,70,82,315058289,133,2018-03-15
"1687","Thor: The Dark World","Walt Disney",53350,NA,185,288,204286536,74,2014-01-20
"1688","Thoroughbreds","Focus Features",17510,-2,117,150,2830775,21,2018-03-29
"1689","Three Billboards Outside Eb…","Fox Searchlight",7303,-3,66,111,54387870,147,2018-04-05
"1690","Three Generations","Weinstein Co.",1161,23,13,89,68852,20,2017-05-24
"1691","Three Identical Strangers","Neon",48650,-5,221,220,11344825,63,2018-08-30
"1692","Three Night Stand","Myriad Entertainmen…",349,-42,10,35,3485,5,2015-01-20
"1693","Thrill Ride","Gravitas Ventures",349,113,3,116,2226,7,2017-12-07
"1694","Tiger Eyes","Freestyle Releasing",48,-62,1,48,27160,33,2013-07-09
"1695","Til Death Do Us Part","Novus Content",12390,-36,310,40,3308359,21,2017-10-19
"1696","Tim Timmerman: Hope of America","Purdie Distribution",30,NA,1,30,97787,55,2017-04-26
"1697","Tinker Tailor Soldier Spy","Focus Features",12035,10,86,140,24149393,105,2012-03-22
"1698","Titanic","Paramount Pictures",3777,-72,75,50,659363944,7301,2017-12-14
"1699","Titanic in 3D","Paramount Pictures",6155,4,52,118,658672302,5285,2012-06-07
"1700","To Die is Hard","Driving With Our Ey…",56,NA,1,56,2106,784,2013-02-07
"1701","To Rome with Love","Sony Pictures Classics",195000,11,552,353,11883000,35,2012-07-26
"1702","To the Arctic 3D","Warner Bros.",8104,-57,52,156,11177397,298,2013-02-11
"1703","Tomb Raider","Warner Bros.",4138,3,75,55,57421715,77,2018-05-31
"1704","Tommy’s Honour","Roadside Attractions",312,-40,7,45,569306,49,2017-06-01
"1705","Tomorrow When the War Began","Freestyle Releasing",597,8,10,60,4936,6,2012-02-29
"1706","Tomorrowland","Walt Disney",58287,-14,297,196,91304790,49,2015-07-09
"1707","Tonight You're Mine","Roadside Attractions",269,-2,3,90,4321,21,2012-05-31
"1708","Top Five","Paramount Pictures",3027,18,69,44,25317379,56,2015-02-05
"1709","Top Gun","Paramount Pictures",12280,22,40,307,179800601,9779,2013-02-21
"1710","Torn","The Film Collective",176,NA,2,88,16772,15,2013-11-01
"1711","Total Recall","Sony Pictures",24524,-31,167,147,58877969,66,2012-10-07
"1712","Touchback","Anchor Bay Entertai…",36,-32,3,12,204157,41,2012-05-23
"1713","Touched With Fire","Roadside Attractions",122,30,3,41,146487,28,2016-03-10
"1714","Tower Heist","Universal",9570,10,174,55,78046570,91,2012-02-02
"1715","Toys in the Attic","Hannover House",275,-7,2,138,64918,38,2012-10-14
"1716","Tracers","Lionsgate",2000,NA,12,167,2000,1,2015-03-20
"1717","Tracks","Weinstein Co.",658,87,6,110,509815,68,2014-11-25
"1718","Trafficked","Epic Pictures Group",438,-37,5,88,13476,12,2017-10-17
"1719","Traffik","Lionsgate",5734,-5,75,76,9186156,42,2018-05-31
"1720","Train to Busan","Well Go USA",102435,-1,27,3794,284776,3,2016-07-24
"1721","Trainwreck","Universal",7260,1,103,70,110038130,91,2015-10-15
"1722","Trance","Fox Searchlight",794,-23,11,72,2322593,63,2013-06-06
"1723","Transcendence","Warner Bros.",2003,20,58,35,23022309,63,2014-06-19
"1724","Transformers: Age of Extinc…","Paramount Pictures",3003,6,78,39,245439076,105,2014-10-09
"1725","Transformers: The Last Knight","Paramount Pictures",14402,-6,224,64,130168683,65,2017-08-24
"1726","Trash","Focus Features",1497,-38,17,88,17484,7,2015-10-15
"1727","Triple 9","Open Road",2707,2,62,44,12639297,49,2016-04-14
"1728","Trolls","20th Century Fox",2705,-15,69,39,153684900,140,2017-03-23
"1729","Trophy","The Orchard",51,31,1,51,21439,45,2017-10-22
"1730","Trouble with the Curve","Warner Bros.",2216,-5,71,31,35763137,84,2012-12-13
"1731","True Story","Fox Searchlight",1638,-18,28,59,4708938,42,2015-05-28
"1732","Trumbo","Bleecker Street",2502,6,31,81,7857741,119,2016-03-03
"1733","Truth","Sony Pictures Classics",255000,NA,1122,227,505577,15,2015-10-30
"1734","Truth or Dare","Universal",10890,-2,113,96,40717020,56,2018-06-07
"1735","Tulip Fever","Weinstein Co.",23,-99,1,23,2425664,77,2017-11-16
"1736","Tully","Focus Features",10595,-19,148,72,9227130,35,2018-06-07
"1737","Turbo","20th Century Fox",536,-23,35,15,83028130,149,2013-12-12
"1738","Tusk","A24",370000,NA,602,615,370000,1,2014-09-19
"1739","Tyler Perry's A Madea Chris…","Lionsgate",3666,27,115,32,52543354,63,2014-02-13
"1740","Tyler Perry's Good Deeds","Lionsgate",3723,10,110,34,35025791,84,2012-05-17
"1741","Tyler Perry's Madea's Witne…","Lionsgate",7709,8,160,48,65653242,84,2012-09-20
"1742","Tyler Perry's The Single Mo…","Lionsgate",3518,8,87,40,15995891,48,2014-04-30
"1743","Tyler Perry’s Boo 2! A Ma…","Lionsgate",5861,-9,210,28,47319572,56,2017-12-14
"1744","Tyler Perry’s Boo! A Made…","Lionsgate",12424,17,110,113,73206343,63,2016-12-22
"1745","Tyler Perry’s Temptation","Lionsgate",6539,-3,131,50,51975354,63,2013-05-30
"1746","Ugly, Dirty and Bad","Film Movement",4898,NA,1,4898,4898,3,2016-10-23
"1747","Un gallo con muchos huevos","Lionsgate",3105,8,55,56,9080818,49,2015-10-22
"1748","Un Padre No Tan Padre","Lionsgate",2911,5,23,127,2156047,42,2017-03-09
"1749","Unbroken","Universal",8330,-7,119,70,115637895,78,2015-03-12
"1750","Uncle Drew","Lionsgate",4727,3,127,37,42329151,63,2018-08-30
"1751","Under the Shadow","Vertical Entertainment",835,74,9,93,28884,14,2016-10-20
"1752","Under the Sun (2016)","Icarus Films",193,-21,3,64,79824,51,2016-08-25
"1753","Underworld: Awakening","Sony Pictures",20003,-40,79,253,62321039,45,2012-03-04
"1754","Underworld: Blood Wars","Sony Pictures",1509,10,42,36,30353973,63,2017-03-09
"1755","Unfinished Business","20th Century Fox",3647,-4,76,48,10204358,35,2015-04-09
"1756","Unfinished Song","Weinstein Co.",1658,-47,19,87,1698952,102,2013-09-30
"1757","Unforgettable","Warner Bros.",3910,-8,102,38,11368012,42,2017-06-01
"1758","Unfriended","Universal",11950,-17,239,50,32482090,42,2015-05-28
"1759","Unfriended: Dark Web","OTL Releasing",2935,-23,57,51,8783985,28,2018-08-16
"1760","United Passions","Screen Media Films",284,-6,10,28,918,3,2015-06-07
"1761","Unsane","Bleecker Street",210078,-47,1929,109,7042115,11,2018-04-02
"1762","Until Forever","CanZion Films",499,17,7,71,105358,299,2016-12-07
"1763","Upgrade","BH Tilt",7825,-35,83,94,11871365,42,2018-07-12
"1764","Vacation","Warner Bros.",1156,1,55,21,58884188,93,2015-10-29
"1765","Valerian and the City of a …","STX Entertainment",8476,-2,151,56,40479370,63,2017-09-21
"1766","Vampire Academy","Weinstein Co.",213,-2,11,19,7791979,63,2014-04-10
"1767","Vamps","Anchor Bay Entertai…",127,63,1,127,3361,13,2012-11-14
"1768","Veronica Mars","Warner Bros.",752,20,15,50,3322127,42,2014-04-24
"1769","Vettai","UTV Communications",2821,-37,34,83,191864,24,2012-02-05
"1770","Victor","CanZion Films",180,-35,1,180,102384,39,2016-10-23
"1771","Victor Frankenstein","20th Century Fox",12090,-50,578,21,5747301,23,2015-12-17
"1772","Victoria and Abdul","Focus Features",2690,10,23,117,22245070,105,2018-01-04
"1773","Vigilante Diaries","Anchor Bay Entertai…",80,-41,2,40,1991,7,2016-06-30
"1774","Voiceless","ArtAffects",207,-11,8,26,419952,35,2016-11-10
"1775","Walk of Shame","Focus Features",3481,-38,51,68,59209,7,2014-05-08
"1776","Walking the Camino: Six Way…","Future Educational …",21613,NA,4,5403,158421,175,2014-02-27
"1777","Walking with Dinosaurs","20th Century Fox",1997,-11,42,48,36059759,105,2014-04-03
"1778","Wanderlust","Universal",9280,33,235,39,17288155,42,2012-04-05
"1779","War Dogs","Warner Bros.",4563,16,123,37,43034523,63,2016-10-20
"1780","War for the Planet of the Apes","20th Century Fox",2485,12,46,54,146843711,119,2017-11-09
"1781","War Horse","Walt Disney",376837,34,2525,149,72943350,31,2012-01-24
"1782","War Room","Sony Pictures",41952,NA,108,388,67749101,101,2015-12-06
"1783","Warcraft","Universal",14205,-2,104,137,47225655,49,2016-07-28
"1784","Warm Bodies","Lionsgate",5367,5,140,38,66380662,98,2013-05-09
"1785","Warriors of the Dawn","FIP",964,-27,12,80,84532,14,2017-06-29
"1786","Wasted! The Story of Food W…","Super LTD",2972,7,11,270,25865,7,2017-10-19
"1787","Water & Power","North/South Pictures",1615,1192,1,1615,42557,27,2014-05-28
"1788","Watermark","Entertainment One",791,-51,5,158,416720,37,2014-05-10
"1789","Wazir","Reliance Entertainment",164575,-36,111,1483,586028,3,2016-01-10
"1790","We Are What We Are","Entertainment One",1649,59,12,137,81381,35,2013-10-31
"1791","We Are Your Friends","Warner Bros.",457,66,17,27,3591417,28,2015-09-24
"1792","We Bought a Zoo","20th Century Fox",659,-1,28,24,75624550,147,2012-05-17
"1793","We Love You, Sally Carmichael","Purdie Distribution",22,57,1,22,113435,63,2017-10-05
"1794","We Steal Secrets: The Story…","Focus Features",1725,-5,11,157,166243,28,2013-06-20
"1795","We The Animals","The Orchard",7346,14,12,612,161860,14,2018-08-30
"1796","We're the Millers","Warner Bros.",5890,-7,164,36,150394119,121,2013-12-05
"1797","Web Junkie","Kino Lorber",100,NA,1,100,5158,40,2014-09-14
"1798","What If","CBS Films",9949,25,79,126,3493000,42,2014-09-18
"1799","What to Expect When You're …","Lionsgate",13161,7,139,95,41152203,77,2012-08-02
"1800","What We Did on Our Holiday","Lionsgate",4200,NA,12,350,4200,1,2015-07-10
"1801","When Marnie Was There","GKIDS",4899,17,34,144,473177,42,2015-07-02
"1802","When the Bough Breaks","Sony Pictures",1710,4,55,31,29747603,70,2016-11-17
"1803","When the Game Stands Tall","Sony Pictures",22968,-45,170,135,29857546,59,2014-10-19
"1804","Where Hope Grows","Roadside Attractions",1471,3,13,113,1156000,35,2015-06-18
"1805","Where to Invade Next","Drafthouse Films",250000,NA,308,812,250000,52,2016-02-12
"1806","While We're Young","A24",4e+05,NA,246,1626,1189041,15,2015-04-10
"1807","Whiskey Tango Foxtrot","Paramount Pictures",9577,25,154,62,23083334,56,2016-04-28
"1808","White House Down","Sony Pictures",16791,-45,117,144,73103784,80,2013-09-15
"1809","Whitney","Roadside Attractions",2215,-25,12,185,3018585,56,2018-08-30
"1810","Why Him?","20th Century Fox",19146,-5,68,282,60269575,84,2017-03-16
"1811","Wild","Fox Searchlight",5813,-4,59,99,37772871,114,2015-03-26
"1812","Wild Card","Lionsgate",3200,NA,13,246,3200,1,2015-01-30
"1813","Wild Oats","Weinstein Co.",4938,NA,100,49,40598,7,2016-09-22
"1814","Wildflower","CanZion Films",377,46,5,75,18062,14,2016-11-02
"1815","Wilson","Fox Searchlight",1350,31,28,48,651219,21,2017-04-13
"1816","Winchester","CBS Films",8901,29,90,99,25091816,56,2018-03-29
"1817","Wind River","Weinstein Co.",254,18,9,28,33800859,126,2017-12-07
"1818","Winter's Tale","Warner Bros.",2798,18,85,33,12600231,49,2014-04-03
"1819","Wish I Was Here","Focus Features",774,19,18,43,3591299,56,2014-09-11
"1820","Wish Upon","Broad Green Pictures",2286000,NA,2250,1016,2286000,1,2017-07-14
"1821","Woman in Gold","Weinstein Co.",598,-32,10,60,33307793,135,2015-08-13
"1822","Woman Walks Ahead","A24",2818,20,2,1409,6863,3,2018-07-01
"1823","Won't Back Down","20th Century Fox",371,50,24,15,5310554,56,2012-11-22
"1824","Won’t You Be My Neighbor?","Focus Features",17365,-14,160,109,22405337,84,2018-08-30
"1825","Wonder","Lionsgate",9938,16,96,104,132422809,126,2018-03-22
"1826","Wonder Wheel","Amazon Studios",2165,-24,5,433,1403237,59,2018-01-28
"1827","Wonder Woman","Warner Bros.",958,29,30,32,412563408,161,2017-11-09
"1828","Wonderstruck","Roadside Attractions",738,-39,15,49,1033632,52,2017-12-10
"1829","Woodlawn","Pure Flix Entertain…",98,85,2,49,14394097,119,2016-02-11
"1830","Woodshock","A24",454,65,9,50,42469,21,2017-10-12
"1831","Words and Pictures","Roadside Attractions",9198,-18,28,329,2086478,66,2014-07-27
"1832","World War Z","Paramount Pictures",2888,20,75,39,202359711,112,2013-10-10
"1833","Wrath of the Titans","Warner Bros.",7878,23,70,113,83670083,91,2012-06-28
"1834","Wreck-It Ralph","Walt Disney",39376,17,402,98,186816706,119,2013-02-28
"1835","X-Men: Apocalypse","20th Century Fox",33434,-19,250,134,155149510,56,2016-07-21
"1836","X-Men: Days of Future Past","20th Century Fox",2426,-5,53,46,233904517,133,2014-10-02
"1837","xXx: Return of Xander Cage","Paramount Pictures",11668,2,139,84,44898413,56,2017-03-16
"1838","You Were Never Really Here","Amazon Studios",1128,-20,16,71,2523610,66,2018-06-10
"1839","You're Next","Lionsgate",4570,-5,87,53,18494006,56,2013-10-17
"1840","Young Adult","Paramount Pictures",3528,-5,87,41,16311571,77,2012-02-23
"1841","Youth","Fox Searchlight",5150,9,41,126,2595205,70,2016-02-11
"1842","Yves Saint Laurent","Weinstein Co.",1343,-10,11,122,723593,93,2014-09-25
"1843","Z for Zachariah","Roadside Attractions",677,-33,13,52,121461,21,2015-09-17
"1844","Zero Dark Thirty","Sony Pictures",11316,-41,91,124,95720716,103,2013-03-31
"1845","Zombeavers","Freestyle Releasing",27,-96,2,14,14947,17,2015-04-05
"1846","Zoolander 2","Paramount Pictures",2649,-21,60,44,28848693,49,2016-03-31
"1847","Zootopia","Walt Disney",1622,88,24,68,341268248,154,2016-08-04
